Title,Company,Location,Salary,Description
Python Programmers,infoanalytica,"Ahmedabad, Gujarat",None,"At infoAnalytica, we strive to delight our customers’ every day by a “Stand up, commit and deliver” team rather than a “Do the best you can” team."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python SQL Develper,Recbots,"Bengaluru, Karnataka","₹7,88,937 - ₹13,88,696 a year","Notice : Immediate to 15 days max.Skills : Python, SQL, Json, XML, CSV.Good experience in computer programming languages such as: Python& SQL."
Python Developer With AI/ML,WebSpero Solutions,"Mohali, Punjab","Up to ₹1,00,000 a month","Python Developer AI/ML Job Descriptions can vary depending on the specific requirements of the company or organization.Pay: Up to ₹100,000.00 per month."
Backend Developer (Node.js / Python),Iron Systems,"Remote in Mumbai, Maharashtra",None,"For more than 15 years, customers have trusted us for our innovative problem-solving combined with holistic design, engineering, manufacturing, logistic, and…"
Sr. Python Developer,Ventura Securities,"Hybrid remote in Thane District, Maharashtra","₹10,00,000 - ₹25,00,000 a year",Build out a next-gen fintech product from ground 0.Opportunity to influence the design of the product.Flexible and Hybrid work environment running out of…
Senior Application Developer (Python/Django),Liventus,Remote,None,Liventus is looking for passionate Application Developer (Python/Django) who have hands-on experience in Python development with 7+ years of experience using…
Python Developer,Zappyhire,"Kochi, Kerala","₹12,016 - ₹59,242 a month","Provide technical guidance and mentorship to junior developers.Collaborate with cross-functional teams, including designers, product managers, and other…"
Jr Developer,SDK Software,"Hyderabad, Telangana+1 location","₹20,000 a month",Highest finished education UG OR B.tech.SDK Software is looking for a Jr.Python Developer with proven track record of successful development efforts.
Microsoft Azure Analytics Services Application Developer,Accenture,"Hyderabad, Telangana",None,"Key Responsibilities : 1 SME in integrating, transforming, and consolidating data from various structured and unstructured data systems into structures that are…"
Backend Developer,Codezen Tech Solutions,"Remote in Mumbai, Maharashtra","₹30,000 - ₹40,000 a month",Your main role would be to take the lead of the Backend Development for various projects specifically in Django LTS versions(2+) with Express and Mongo/MySQL…
Software Developer Intern,Kofax,"Hyderabad, Telangana+1 location",None,Management and staff in Kofax's Software Development job family help the company to build and improve new and/or existing software products and their…
Python Developer,Focskill pvt.ltd,"Gautam Budh Nagar, Uttar Pradesh+2 locations","₹2,71,624 - ₹12,53,195 a year",Minimum experience between 5-7 years.Excellent understanding of object-oriented concepts and Python language.4+ yrs experience in Django/Flask.
PYTHON DEVELOPER,Hexagon Infosoft,"Ahmedabad, Gujarat",None,Expert in Python coding using skills Python and JS framework.Able to integrate multiple data sources and databases into one system.
Associate,PwC,"Kolkata, West Bengal",None, Candidate should have hands on experience in performance tuning Should be able to write scalable and effective python codes - Working experience in PySpark -…
Python Developer,Pure Software,"Remote in Noida, Uttar Pradesh",None,PureSoftware is a global software products and digital services company that is driving transformation for the world’s top organizations across the most…
Python Developer,Anvistar IT Training Services,"Narhe, Pune, Maharashtra",None,"Year of Exp: 1 - 3yrs Require skill set HTML, HTML-5 Javacsript JQuery CSS, CSS 3.0 Bootsrap 3,4 Strong python Oops Concept Strong in database-MySQL Framework…"
Python Developer,Tech Turmeric IT Services,"Hyderabad, Telangana","₹8,00,000 - ₹15,00,000 a year","Data Engineer with 4+ years of experience in a Data Engineer role, who has.Attained a Graduate degree in Computer Science, Statistics, Informatics,."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python/Django Developer,PranshTech Solutions Pvt Ltd.,"Gota, Ahmedabad, Gujarat","Up to ₹50,000 a month","We're on the lookout for a highly skilled and motivated Python Developer to join our dynamic team.As part of our crew, you'll be diving into designing,…"
Developer,Wipro Limited,"Bengaluru, Karnataka+1 location",None,"Developer - Cloud Native Developer java/j2EE/Srpring Boot.Java-J2EE, Springboot, Microservice, REST, Docker, Kubernetes, Application specific skills: Cloud…"
Freelancer Python Developer,Yatharthriti IT Services Pvt Ltd,"Faridabad, Haryana",None,"Minimum 3-5 years of experience as a Python developer with a strong understanding of software development principles.Job Types: Part-time, Freelance."
Application Developer proficient in Python,Sibia Analytics,"Kolkata, West Bengal",None,"Desired skills: - Hands on experience in Python.Knowledge of pandas, numpy, urllib, requests etc would be a plus.MongoDB will be an added advantage."
Python full stack developer -back end,CRISIL,"Bengaluru, Karnataka",None,"Experience in building web applications using Python(Django, Flask, FastAPI) RESTAPI:Expertise in Database and Application Architecture Design."
Python Full Stack Developer,Rabbit And Tortoise Technology Solutions,"Pune, Maharashtra","From ₹12,00,000 a year","CTC: Up to 20 LPA.Proficiency in React and Python, with experience in designing and developing front-end and back-end solutions."
Python Developer,Zartek Technologies,"Kochi, Kerala","₹30,000 - ₹60,000 a month",Work with front-end team to design API's.Use the Django rest framework to implement REST API's.Should have good database design knowledge.
Python Django Developer,element8,"Calicut, Kerala","₹20,000 - ₹45,000 a month",Element8( element8.ae) is a growing Creative Agency based in Dubai .We are seeking an experienced Python Django Developer to join us at our back office in…
Sr. Python Developer/Freelancer,Premanand Infotech,"Bengaluru, Karnataka","Up to ₹12,00,000 a year","We are looking for a Python developer to join our small team to work primarily on operational automation scripting, which involves utilizing Python, Bash and…"
Sr. Python Developer,Zehntech Technologies Pvt Ltd,"Indore, Madhya Pradesh","₹4,00,000 - ₹10,00,000 a year","Will be responsible for leading a team of developers, assigning tasks, and monitoring progress.Will need to have experience leading a team of developers and…"
Python Developer,IN 630 Shared Services,"Remote in New Delhi, Delhi",None,We are seeking an experienced Python Developer with 4 to 6 years of industry experience.The ideal candidate should possess strong expertise in Python…
Trainee Software Developer ( Python ),CIS,"Indore, Madhya Pradesh",None,Project work undertaken will be development and unit testing of straightforward or low complexity components.May assist in any other aspect of the project life…
Full Stack Developer,Birdwood Energy,Remote in Remote,"₹50,000 - ₹60,000 a month","JOB TITLE:* Full Stack Coder.LOCATION:* Remote (Opportunity to work from home).Design, develop and implement full-stack software applications and systems…"
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Data Scientist - Internship Opportunities,Microsoft,India,None,"Implement algorithms that power user and developer-facing products reaching out to millions ofusers.Every year, we welcome thousands of university students…"
"Full stack Developer (Python, Fast API| Flask frameworks)",KonnectNXT,"Ahmedabad, Gujarat","₹8,00,000 - ₹16,00,000 a year"," Knowledge of different libraries like pyspark, tensorflow of python. Overall 3+ years of industry experience. Frameworks: FastAPI or Flask."
Python Developer,AgilizTech Software Services,"Bengaluru, Karnataka",None,Cloud Product Development and System Integration using Python and other open source technologies.Participate in R&D activities led by architects.
Python Developer,INFOBEANS TECHNOLOGIES,"Chennai, Tamil Nadu",None,"Indore/Chennai/Pune 3+ years.Key Skills: Scripting, Django, JQuery, ORM, MYSQL,.What will your role look like.Improve functionality of existing systems."
PYTHON WITH AI DEVELOPER,DEzen Technology Solutions Pvt Ltd.,"Remote in Hyderabad, Telangana","₹9,00,000 a year","DEzen Technology Solutions Pvt Ltd.Python with Artificial Intelligence, Machine Learning, Deep Learning, Linear Regression, Logistic Regression."
Python Full Stack Developer,Raptor Supplies Private Limited,"Delhi, Delhi","₹4,00,000 - ₹20,00,000 a year","Full Stack Developer Job Description*.Build ChatMRO (ChatGPT equivalent for MRO industry), develop and maintain data models,.Build AI solutions for those."
SQL Developer,Citta Solutions,Remote,None,"Software development or scripting experience (powershell, python, C#, etc.).We are looking for a SQL Developer to build and implement functional programs."
Python Full Stack Developer,Dotcod Innovation Private Limited,"Bengaluru, Karnataka","₹30,000 - ₹1,00,000 a month","Work Experience: 3 – 4 Years *.Work across the full stack, building highly scalable distributed solutions that enable positive user experiences and measurable…"
Python Developer,Star Systems,"Mumbai, Maharashtra",None,Job description: 2-4 years of experience in web application development in JavaScript technologies.Expertise in at least one popular Python framework (like…
RPA UiPath Developer,Witlance Solutions Pvt. Ltd.,"Remote in Hyderabad, Telangana","₹40,000 - ₹1,25,000 a month",We have an urgent requirement of UI Path (RPA Developer).Experience Required: 3-7 Years.Must have 3+ years of relevant RPA (UIPath) consulting or industry…
Full Stack Developer-Python,Raptor Supplies Limited,"Delhi, Delhi","₹10,51,244 - ₹25,26,088 a year","Greetings from Raptor Supplies Pvt. Ltd.*.Build ChatMRO (ChatGPT equivalent for MRO industry), develop and maintain data models, schemas, and databases that…"
"Engineer, Front-end Developer",NNE,"Bengaluru, Karnataka",None,"Interest in full stack development, including database connectivity and back-end developer tools such as Python and Node.js.Make your ability count at NNE."
Python Developer,YMTS India,"Tirupati, Andhra Pradesh","Up to ₹2,50,000 a year",Integration of user-facing elements developed by front-end developers with server side logic.Work Type :Full Time - Work From Office.
Senior Python Developer,Auraa Solutions,"Bengaluru, Karnataka","₹6,00,000 - ₹15,00,000 a year","Develop and implement AI and ML models using Python and relevant frameworks/libraries such as TensorFlow, Keras, Scikit-learn, or PyTorch."
Python Web Developer,Mirafra Software Technologies,India,None,"Integration of user-facing elements developed by front-end developers with server side logic Implementation of security and data protection,Integration of data…"
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python Developer,Sacumen,"Bengaluru, Karnataka",None,"SACUMEN works with Cyber security product companies to develop security products, solutions, and connectors (aka. 3rd part integrations)."
"Backend Developer (Django, Python, Celery, AWS)",Credy,"Koramangala, Bengaluru, Karnataka",None,"Passionate about building backend systems.Love for writing clean, beautiful, readable and testable code.Experience in designing extensible DRY code."
PYTHON DEVELOPER (Core Python Development),Micro Marketing Service India,"Mumbai, Maharashtra",None,"IND product development will provide valuable insights into today’s market segmentation approaches, customer segmentation micro-marketing tools and systems,…"
PYTHON DEVELOPER – DJANGO/FLASK,SpanIdea Systems,"Bengaluru, Karnataka",None,Collaborate with front-end developers to ensure seamless integration of user interfaces.SpanIdea is seeking a skilled Python Developer with expertise in Django…
Backend Developer,KonnectShift Technologies,"Hyderabad, Telangana",None,Build new things + find new solutions - were growing to make room for new products.Minimum 1-2 year experience in backend development.
Python Developer,Velocida Private Limited,"Chennai, Tamil Nadu","From ₹10,00,000 a year","Key skillset: *Python, API (Flask), AWS, SAP, Unix, Linux, Github, Kubernets, Docker, Helm.Ø 3 to 5 years of experience in creating large-scale data pipeline."
Python Developer,Spark Eighteen Lifestyle,"New Delhi, Delhi",None,"Integration of user-facing elements developed by front-end developers with server side logic.As a Python Developer, you will be involved from conception to…"
Python Developer,Deqode,"Pune, Maharashtra",None,"As a member of our team, you will work closely with the team to develop products, brainstorm ideas, and solve problems.Knowledge of VCS like Git or SVN."
Backend Engineer,BizCloud Experts,"Hyderabad, Telangana",None,"Play a critical role in day-to-day coding, design, code reviews, and troubleshooting with production issues.Have good communication skills with a strong sense…"
"BI Developer (Tableau, SQL and SSIS) - Associate",JPMorgan Chase & Co,"Mumbai, Maharashtra",None,Design the technical and information architecture for the MIS (DataMart’s) and Reporting Environments.Support the MIS team in query optimization and deployment…
Python Django Developer(Client Place),RDS Digital,"Bengaluru, Karnataka",None,"Provide guidance and support to junior developers, reviewing their code and providingconstructivefeedback.Mentor and guide junior developers in problem-solving…"
required java developers,JIGNASA TECHNO SOLUTIONS,"Hyderabad, Telangana",None,"Core Java/j2EE , Spring, Spring Boot,Design Patterns,HTML,CSS,Java Script,Jquery,AngularJS.Willing to attend the in person interviews as per schedule."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python Developer,Ciright Enterprise Pvt Ltd,"Ahmedabad, Gujarat","₹20,000 - ₹25,000 a month","As a Python Developer, you will be responsible for designing, developing, and maintaining efficient and reliable Python code to support our software…"
Python Developer,Brilyant IT Solutions,"Bengaluru, Karnataka",None,"As a Python Developer, you will be responsible for designing and building our platform, ensuring strong quality, performance, scalability, reliability, and…"
Python Developer,TRUSTTECH SOLUTIONS,"Kochi, Kerala","₹50,000 - ₹80,000 a month",Integrate user-facing components built by front-end developers with the logic of the back end.We are hiring Python Developers(Minimum 5 plus years)*.
Python Developer,Techlift Technologies,"Pune, Maharashtra",None,Work involves customization to the open source ERPNext software.Write functional and development specifications.Do automated unit and functional testing.
Principal Software Developer,Oracle,"Hyderabad, Telangana+2 locations",None,"Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.You will be responsible for defining and developing…"
Backend Developer,Revnue Corp.,Remote in India,None,"We are looking for an analytical, results-driven back-end developer who will work with team members to troubleshoot and improve current back-end applications…"
Front End Developer,QuantInsti Quantitative Learning,"Mumbai, Maharashtra","₹15,00,000 - ₹20,00,000 a year","You will design and implement scalable and performant front-end solutions from scratch, while also taking a hard look at the existing ones."
Cloud Developer,Hewlett Packard Enterprise,"Chennai, Tamil Nadu+1 location",None,"Architect and scale backend infrastructure, data pipelines, and storage systems to accommodate tens of millions of devices."
Senior Python Developer,WRC Technologies,"Kolkata, West Bengal",None,"E / MCA degree in Computer Science, Engineering or a related stream.3+ years of software development experience.Minimum of 4 live project roll outs."
Back End Developer (Python) - Data and Analytics,mPower Software Services,"Bengaluru, Karnataka",None,"You will be tasked with building and maintaining MPOWER’s various range of products.You’ll also play a key role in development and deployment, to provide…"
Python Developer,Eastsons,India,None,"Key understanding of Object-Oriented Programming, Web Architecture, Rest Framework, SDLC.Familiarity with some ORM (Object Relational Mapper) libraries."
Senior Python Developer,LogicLoom IT Solutions Pvt Ltd,"Pune, Maharashtra","₹80,000 - ₹90,000 a month","Specialized in Dash-Plotly with pro version of dash and Datalake technologies.Lead the design, development, and deployment of interactive and visually…"
Lead Engineer 2 - Prototype Development,PepsiCo,"Remote in Hyderabad, Telangana",None,The individual in this role is responsible for creating a variety of digital solution prototypes based on functional capability requirements as well as UX…
SQL Developer,AceNet,"Chennai, Tamil Nadu",None,Minimum of 4 years of hands-on experience in SQL database development and optimization.Proficiency in writing complex SQL queries and optimizing query…
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python Developer,Ticvic Technologies,"Chennai, Tamil Nadu",None,"Expertise in at least one popular Python framework (like Django, Flask or FastAPI).Knowledge of object-relational mapping (ORM)."
Python Software Developer,Jireh Software Solutions,"Bengaluru, Karnataka",None,Knowledge of at least one well-known Python framework.Object-Relational Mapping expertise (ORM).Very good writing and verbal communication skills & knowledge…
PYTHON Developer,Pofi Technologies,Remote,None,"3-5 years of experience as a Python developer.Bachelor's degree in computer science, computer engineering, or related field."
"Front-end Developer (HTML, CSS, JavaScript, and jQuery)",True Data Software,"Pune, Maharashtra",None,"Help in designing and developing intuitive front-ends for applications Collaborate with product managers, designers, and developers to build out quality…"
Lead Analyst - Python AWS,CGI,"Hyderabad, Telangana",None,"CGI offers a competitive compensation package with opportunities for growth and professional development.Benefits for full-time, permanent members start on the…"
Python + AWS Developer (Permanent Remote),Unusual Hire,Remote in India,None,Python + AWS Developer (Permanent Remote) | Contract – Min. 6 Months.Python (5+ Years Experience along with 2 years of experience in AWS).
Python Developer,AXAT Technologies,"Navi Mumbai, Maharashtra",None,Worked on payment gateway integration.Familiar with Filezilla or any other FTP tools.Familiar using postgresql database and Ubuntu.
Python Developer,Future Leap PMC OPC Private Limited,"Kochi, Kerala","₹35,000 a month","The ideal candidate should have a Bachelor's or Master's degree in computer science or a related field, along with a minimum of 2 years of proven work…"
Software Developer - Work from home,ComputeLib,"Remote in Noida, Uttar Pradesh","Up to ₹5,17,416 a year","The ideal candidate should be adept at designing, implementing, and supporting highly scalable applications and web services using Microsoft Technologies."
Experienced Python Developer,Nueve IT Solutions Pvt Ltd,"Visakhapatnam, Andhra Pradesh","₹8,00,000 - ₹13,00,000 a year",We are looking for a 4+ years of experienced Python Developer to join our engineering team and help us develop and maintain various software products.
Python Developer,Rite Software Solutions & Services (IN),"Hyderabad, Telangana",None,"2-3 years experience in python , NodeJS and AWS is bonus but needs to be python hands on development."
Full-Stack Developer,KonnectShift Technologies,"Hyderabad, Telangana",None,"Development and maintenance of exiting codebase.Updates job knowledge by studying state-of-the-art development tools, programming techniques."
Software Engineer - Python,Tipstat Infotech,"Bengaluru, Karnataka",None,"Excellent knowledge of Python language.Design, implement & document the backend APIs for the platform.Solve complex performance problems and architectural…"
Senior Python Developer,AcubeApps,"Noida, Uttar Pradesh",None,"E / MCA degree in Computer Science, Engineering or a related stream.3+ years of software development experience.Minimum of 4 live project roll outs."
Python Developer,FinByz Tech,"Ahmedabad, Gujarat",None,Build reports using python/SQL queries on relational database.Create web applications in frappe and Django framework.
Python Developer,Triazine Software,"Noida, Uttar Pradesh","₹5,00,000 - ₹7,00,000 a year","Expert in Python, with knowledge of at least one Python web framework (such as Django, Flask, etc depending on your technology stack)."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python Backend developer,Hamon Techonologies,"Calicut, Kerala",None,"Proven experience as a Back-end developer.AWS components such as Lambda, SQS, Dynamo DB.Knowledge of Rest API integrations.GitHub actions for CI CD."
Python/Data Science Developer,SSP Technology,"Pune, Maharashtra",None,"Exposure to Image processing, Data Mining, Signal processing, Anaconda and Spyder/ Pycharm IDE.Strong Knowledge of Flask or Django Web Framework."
Full stack developer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",None,O Bachelor’s or Master’s degree in Computer Science/Electronics & Communication or related fields.O 2 to 4 years in Software Development/Embedded Software…
Python Developer,Persistent Systems,India,None,"You will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front…"
PYTHON DEVELOPERS,Technofist,"Bengaluru, Karnataka",None,"Core Java, JDBC, Servlet, JSP, Struts, Spring , Hibernate, Web Services and Tomcat.PYTHON - Machine Learning and Artificial Intelligence."
Python Developer ( ML / AI ),Unlimited WP Pvt. Ltd.,"Ahmedabad, Gujarat","Up to ₹6,00,000 a year","Minimum 3 years of experience into Python , experience in ML or AI would be added advantage .Design and implement AI algorithms and models using Python and…"
Python Developer,Bestol,"Bengaluru, Karnataka",None,"Designing, Developing, and maintaining product features in both the web and desktop applications.Develop cloud features and contribute to developing a…"
Full Stack Developer Python,IMAGECON IND PVT LTD,"Bengaluru, Karnataka","Up to ₹3,00,000 a year","We do offer expert training on the Internet of Things (IoT), Machine Learning, Data Science, Artificial Intelligence, Python, JAVA, and Android courses in our…"
"Pyspark,Python,AWS ETL developer",OSI Digital,"Hyderabad, Telangana",None,"Hands on experience on Pyspark (RDD, Dataframes) and python.OSI Digital is looking for a Pyspark, Python, AWS-ETL Developer to work on new implementations,…"
Python Developer,PillarPlus,"Jaipur, Rajasthan",None,"Writing reusable, testable, and efficient code.Design algorithms, modules and functions in Python.Design and implementation of low-latency, high-availability,…"
Python Developer (Software Engineer),Ebsl Automat,"Bengaluru, Karnataka","₹2,40,000 - ₹3,60,000 a year","Hands on experience in Coding in Python is required along with Knowledge about Data Structures and SQL, Algorithms.Extensive experience of PHP and MySQL."
Backend Lead (Python & My SQL) _Location Remote,Elife,"Remote in Gurgaon, Haryana",None,"Elife is a Startup developing innovative technology in the passenger transport industry, providing any type of ground transportation worldwide, including Group…"
Python Application Developer with AI,L A Consultancy,"Chennai, Tamil Nadu","₹6,00,000 - ₹15,00,000 a year","Convert AI/ML models into APIs that other developers can use.Strong analytical, problem solving and troubleshooting skills.Experience as a Python Developer."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python Developer,VARITE INDIA PRIVATE LIMITED,"Bengaluru, Karnataka",None,Need 1-2 year experienced Python Developer.Expert knowledge of Python and related frameworks including Django and Flask.
Senior Python Developer,American Chase LLP,"Remote in Indore, Madhya Pradesh","₹1,200 - ₹2,000 an hour","Provide technical guidance and mentorship to junior developers.American Chase is a leading company based in Indore, India, known for delivering innovative…"
"Lead Software Engineer- Python, AWS",JPMorgan Chase & Co,"Bengaluru, Karnataka",None,"Contribute to observability and monitoring tools to detect issues, measure performance and produce telemetry for developers."
Python Developer,FXCM,"Chennai, Tamil Nadu",None,"We're looking for an experienced Java developer to join our growing CRM team.This dynamic position will focus on building, integrating, testing, and deploying…"
Python (Django/Flask) Developer,Marktine Technology Solutions,Remote,"₹15,00,000 - ₹20,00,000 a year",Responsibilities: Develop cloud-based Python Django FinTech software products Working closely with frontend Developers Designing and creating RESTful APIs for…
Python Developer - Hyderabad,CoffeeBeans Consulting,"Bengaluru, Karnataka",None,"Founded in the year 2017, CoffeeBeans specializes in offering high end consulting services in technology, product, and processes.What are we looking for."
Python Developer,Fidaato Infotech Pvt Ltd,"Bhopal, Madhya Pradesh","₹3,50,000 - ₹4,00,000 a year","What you'll do Responsibilities.Work with development teams and product managers to ideate software solutions.Troubleshoot, debug and upgrade software."
Senior Python Developer,Risk Edge Solutions,"Hyderabad, Telangana",None,"Total IT experience of 5-9 yrs.Deep expertise in Python with experience implementing REST APIs , familiar with Flask, Docker."
Back-end Developer (Python and Azure),Third-AI,"Bengaluru, Karnataka",None,Collaborate with front-end developers to integrate user-facing elements with server-side logic.ThirdAI is backed by venture funding.
Sr. Python Developer,Way2smile solutions,"Coimbatore, Tamil Nadu",None,"Should have 2 to 5 years of work experience as a Python Developer.Expertise in at least one popular Python framework (like Django, Flask or Pyramid)."
PYTHON DEVELOPER,WebKorps Solutions,"Indore, Madhya Pradesh",None,"Python developer will develop back-end components, connect the application with the other (often third-party) web services, and support the front-end developers…"
Level 3 - Software Developer,IBM,"Bengaluru, Karnataka",None,"Experienced Linux system level developer with thorough understanding of how to design, implement and support distribute network and Linux OS platform services."
Front End/Back End Developer,HealthArc,Remote in Remote,"₹6,00,000 - ₹15,00,000 a year","Proven experience as a Full Stack Developer or similar role.Experience developing desktop and mobile applications.Pay: ₹600,000.00 - ₹1,500,000.00 per year."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
PYTHON DEVELOPER,VnV Logixpace,"Hyderabad, Telangana",None,"JOB CODE : VNVPY020 | JOB LOCATION : HYDERABAD | OVERALL EXPERIENCE : 3 -8 YEARS | JOB TYPE : FULL-TIME |.A | LAST UPDATED : AUG 16, 2023."
Snowflake Developer,techy geeks,"Puducherry, Puducherry","₹8,00,000 - ₹10,00,000 a year","Relevant Exp: Snowflake with Python and SQL.Notice Period: Immediate to 15 days or Less.Salary: ₹800,000.00 - ₹1,000,000.00 per year."
Backend Developer,Nivetti Systems Pvt Ltd,"Bengaluru, Karnataka","₹4,33,567 - ₹18,56,457 a year",We’ve established ourselves as a leading developer of innovative software solutions.At least one of python framework purpose built for handling and processing…
Senior Python Developer,99 Digits,"Thiruvananthapuram, Kerala","₹25,000 - ₹30,000 a month",Coordinating with front-end developers.1-2 years of experience as a Python developer.Coordinating with development teams to determine application requirements…
Full Stake Developer,Siemens,"Bengaluru, Karnataka",None,"We spend up to 90 percent of our lives in buildings, and we believe that everything people do in life deserves a flawless place to do it."
Sr. Python Developer,Threlakshaa Technologies,"Coimbatore, Tamil Nadu","₹15,00,000 - ₹18,00,000 a year",Coordinating with front-end developers.5-7 years of experience as a Python developer.We are looking for a Senior Python Web Developer responsible for managing…
Web Developer,True Talents Consulting Private Limited,"Hyderabad, Telangana",None,"Role 1 : L2 Engineer, 3+ Years, 2 positions, 15-16 LPA.Role 2: Sr. L2 Engineer, 5+ Years, 3 positions, 18-19 LPA. Ready to work in Support environment."
Software Engineer And Developer,MFine,Remote in Orissa,"₹19,800 - ₹47,000 a month","Designing, coding, and implementing software solutions using Java, Python, .Collaborating with cross-functional teams to gather requirements and develop…"
Python developer with AI & ML,Chrisel Technolab,"Virar, Mumbai, Maharashtra",None,"Strong knowledge of machine learning fundamentals and python.Design distributed applications, architectural trade-offs applying synchronous and asynchronous…"
Java Backend Developer,Yoodobuzz Private Limited,"Bengaluru, Karnataka","₹4,35,934 - ₹12,62,789 a year",Senior Java Developer : Excellent Java development experience / Experience developing Rest APIs / In depth knowledge of Spring MVC / ANSI SQL experience /…
Python Developer fresher,Altos Technologies,"Remote in Ernakulam, Kerala","₹10,000 - ₹12,000 a month","We are looking for A python developer Fresher in to our IT company in Infopark.Apply through the given link.Basic knowledge in C, C++, Java basics."
Sr. Python Developer,Innovative e- Solutions Enterprise,"Panchkula, Haryana","From ₹18,000 a month","Experience one year six months.Knowledge of Python, Django and DRF.Knowledge of the principles of class-based object-oriented programming."
Software Developer,Heresy Infotech,"Hyderabad, Telangana",None,We are looking to hire smart and enthusiastic Junior software developers from any Engineering/MCA background.Key skills to work at Heresy:
Sr Python Developer,systems plus,"Pune, Maharashtra",None,"We are looking for a senior developer with the advanced skills needed to maintain and enhance backend for modern mobile and web applications using python, nosql…"
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python Developer -83847753 Full-Time,HyreFox Consultants,"Bengaluru, Karnataka","₹12,00,000 - ₹30,00,000 a year",Should have minimum 4+ years of Strong Python web development experience with Sql and noSql platforms.Should have experience in data structures and data…
Python Developer,Code Garage Tech,"Mohali, Punjab","₹15,000 - ₹50,000 a month","#location - A-45 Atrium of quark city, Mohali.1 Python, Django, Flask, Web Scraping.*Stack proficiency, ability to write performance code."
Backend Developer - Python / Django,Bynry Inc,"Pune, Maharashtra",None,"Develop and maintain efficient, reliable, and scalable backend systems using preferably Pytho & Java, or Golang."
Java / Python with AWS Developer/ Lead/ Architect,Simpsoft Solutions,"Kolkata, West Bengal",None,"Develop and deploy AWS cloud-based solutions, services, and interfacesParticipate in all phases of software engineering including; requirements, design, coding…"
"JavaScript, Python and Linux Developer",Infosys,"Thiruvananthapuram, Kerala",None,"Automation Tester, making sure that as part of the full testing team he/she contributes to the testing coverage as determined by the test lead."
Software Developer,IBM,"Bengaluru, Karnataka",None,3+ years of experience with solutions development or implementation in Unix or Linux environments using python programming language.
Python Developer,VenPep Solutions,"Coimbatore, Tamil Nadu",None,"Collaborate with cross-functional teams, including designers and frontend developers, to translate business requirements into technical solutions."
E-Commerce Developer,Digital Promotion Team,"Kalkaji, Delhi, Delhi","₹20,000 - ₹40,000 a month","As an Ecommerce Developer, you will collaborate with cross-functional teams to create, enhance, and optimize our ecommerce website, ensuring a seamless and…"
Cloud Service Developer,Hewlett Packard Enterprise,"Bengaluru, Karnataka",None,Good to have scripting experience in python.Minimum education at BS or MS level in Computer Science or related fields.
Python AI/ML Engineer,VRemember Technologies,"Mumbai, Maharashtra","₹3,00,000 - ₹10,00,000 a year","Work closely with product teams to implement algorithms that power user and developer-facing products.3+ years experience of in software development in Python,…"
ReactJS Developer,Code Brew Labs,"Chandigarh, Chandigarh","₹30,000 - ₹50,000 a month","Code Brew Labs is currently open for React js developer.These skilled front-end developers are involved in all stages of interface component design, from…"
PYTHON DEVELOPER,ItJobCell,"Thiruvananthapuram, Kerala",None,Python Golang GCP certification (Good to Have).
Python Developer/Lead(Bangalore/Kolkata),Mantra Labs,"Bengaluru, Karnataka",None,"Must have: Developed Rest APIs.Must have: AWS EC2 Lambda, RDS.Must have: Data structures and Algorithms.Must have: Flask/Django, Django RestFramework , GIT."
Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",None,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
Python/Django Developer,makbig learn,"Cannanore, Kerala","₹3,00,000 a year","Develop user-friendly and responsive web interfaces using HTML, CSS, and JavaScript frameworks (e.g., React, Angular, Vue).Total work: 1 year (Preferred)."
